Comment,Designator,Footprint,JLCPCB Part #,Quantity
"100nF, 16V","C1, C2, C3, C4, C5, C6, C8, C9, C10, C14, C31, C37, C41",CAPC1608X92X38NL15T08,C165952,13
1uF,"C7, C18, C19, C30, C39",CAPC2013X70X45NL10T25,C440193,5
"10nF, 10nF, 16V","C11, C52",CAPC1608X90X35NL15T15,C2168864,2
"10uF, 6.3V",C12,FP-CL10-IPC_A,C1691,1
"22uF, 6.3V","C13, C15",FP-GRM21B-0_15-IPC_B,C77071,2
"4.7uF, 16V","C16, C51",FP-GRM21B-0_15-MFG,C86040,2
"10uF, 6V3",C17,CAPC2013X95X50LL10T25,C92786,1
3.3pF,"C20, C45, C46",FP-GQM187-0_15-MFG,C882553,3
"39pF, 5%",C21,FP-CL10-IPC_B,C53278,1
"47nF, 10%",C22,FP-CL579-IPC_C,C307434,1
"47pF, 5%",C23,FP-0603-L_1_6_0_15-W_0_81-MFG,C513324,1
5.6pF,C24,CAPC1608X90X35ML10T15,C162238,1
2.2pF,C25,CAPC1608X73X35NL10T15,C2760775,1
3.6pF,"C26, C28, C34, C36",FP-GJM155-0_05-IPC_C,C161320,4
"10pF, 1%","C27, C38, C54",FP-0805-L_2_01_0_2-W_1_25-MFG,C597259,3
"56pF, 5%","C29, C32, C35, C43, C44, C48",FP-GCM188-0_1-IPC_A,C490535,6
470nF,"C33, C40",FP-0603-L_1_6_0_1-W_0_8_0-IPC_A,C385965,2
1.5pF,C42,FP-GJM155-0_05-IPC_C,C76900,1
2.7pF,C47,FP-GQM219-0_15-IPC_C,C668330,1
"1nF, 50V",C49,FP-CL10-IPC_A,C163508,1
"100pF, 2%","C50, C55",FP-0805-L_2_01_0_2-W_1_25-IPC_A,C597261,2
1.2pF,C53,CAPC1608X90X35NL10T15,C437533,1
BAT54XV2T1G,D1,ONSC-SOD-523-2-502-01_V,C81572,1
TVS0500DRVR,D2,FP-DRV0006A-IPC_B,C609571,1
SZESD7471N2T5G,D3,FP-711AM-CA-MFG,C896560,1
B39871B4377P810,"FL1, FL2, FL3",B39871B4377P810,B39871B4377P810CT-ND,3
SX1302IMLTRT,IC1,QFN35P700X700X80-69N-D,C5143595,1
TPS62207DBVR,IC3,SOT95P280X145-5N,C398350,1
SX1250IMLTRT,"IC4, IC5",QFN50P400X400X100-25N-D,C1844931,2
27nH,L1,FP-LQG15HH_02-IPC_C,C12669,1
"1uH, 2.5A",L2,FP-LQH32PB_NC-MFG,C389568,1
"10uH, 1.7A",L3,FP-FDSD0420-MFG,C1329533,1
"47nH, 0.29R",L4,FP-LQW18AN_00-MFG,C98076,1
"2.5nH, 0.05R",L5,FP-LQW15AN_00-W0_6-0_1-MFG,C237342,1
"4.7nH, 0.07R",L6,FP-LQW15AN_00-W0_6-0_1-MFG,C98064,1
"12nH, 0.071R","L7, L9",FP-LQW18AN_10-MFG,C440240,2
"15uH, 0.32A, 28MHz","L8, L10",FP-CB2012-MFG,C223173,2
5.6nH,"L11, L12",FP-LQW18AN_80-MFG,C2041812,2
6.8nH,L13,FP-LQW15AN_00-W0_6-0_1-MFG,C113119,1
3nH,L14,FP-LQP03TG_02-MFG,C98044,1
7.5nH,L15,FP-LQW18AN_00-MFG,C98084,1
"1.2nH, 0.12R",L16,FP-MLK1005-IPC_C,C275321,1
SML-D12M1WT86,LED1,FP-SML-D12-MFG,C2922668,1
GREEN,LED2,FP-LTST-C171GKT-MFG,C913075,1
VLMB1300-GS08,LED3,FP-6_541-5094_01-4-MFG,C435849,1
RED,"LED4, LED5, LED6",LTST-C170KRKT_V,C94868,3
680R,"R1, R3, R4, R10, R12, R15",RESC2013X70X40ML20T20,C410034,6
ERJ-3EKF10R0V,"R2, R8",FP-ERJ3EK-MFG,C193335,2
RMCF0805JT47K0,"R5, R6, R7",FP-RMCF0805-IPC_B,C237768,3
"178k, 1/16W",R9,RESC1608X55X25NL10T15,C185366,1
300k,"R11, R13",RESC2013X60X30LL20T20,C316814,2
CRCW080533K0FKEA,R14,FP-CRCW0805-e3-MFG,C242487,1
ERJ-6ENF1001V,"R16, R18, R19",RESC2013X70X40ML20T20,C79496,3
ERJ-3EKF2200V,"R17, R20",RESC1608X55X30LL15T15,C403073,2
TPS62082DSGR,U1,DSG0008A_V,C485809,1
TPS25200DRVT,U2,FP-DRV0006A-IPC_B,C2653855,1
TLV70233DBVT,U3,DBV0005A_N,C110287,1
SKY66420-11,U4,MCM16_3X3X0P75_SKY,C2654477,1
ECS-TXO-25CSMV-320-DY-TR,Y1,OSC_ECS-TXO-25CSMV-320-DY-TR,50-ECS-TXO-25CSMV-320-DY-CT-ND,1